"post_id","user","date","is_accepted_answer"
"12213","lbw","2020-08-21T02:14:41.564Z","FALSE"
"12209","aaronkyle","2020-08-21T01:41:21.528Z","FALSE"
"12207","bgchen","2020-08-21T01:38:09.755Z","FALSE"
"12206","mcmcclur","2020-08-21T01:25:14.171Z","FALSE"
"12203","visnup","2020-08-20T23:24:49.209Z","FALSE"
"12202","itayniv","2020-08-20T17:37:28.968Z","FALSE"
"12201","j-pb","2020-08-20T16:37:46.342Z","FALSE"
"12200","mbostock","2020-08-20T14:34:23.526Z","TRUE"
"12199","j-pb","2020-08-20T12:59:55.102Z","FALSE"
"12198","mbostock","2020-08-20T01:54:01.584Z","FALSE"
"12197","mootari","2020-08-19T23:28:53.990Z","FALSE"
"12196","dkirkby","2020-08-19T22:36:40.373Z","FALSE"
"12195","radames","2020-08-19T21:47:46.584Z","TRUE"
"12194","visnup","2020-08-19T21:18:43.707Z","FALSE"
"12192","dkirkby","2020-08-19T21:10:08.297Z","FALSE"
"12191","mbostock","2020-08-19T20:59:14.795Z","FALSE"
"12190","mootari","2020-08-19T20:37:54.087Z","FALSE"
"12189","itayniv","2020-08-19T20:11:09.347Z","FALSE"
"12186","mashfedorova","2020-08-19T07:46:26.187Z","FALSE"
"12183","Srabutdotcom","2020-08-19T04:57:26.050Z","FALSE"
"12182","bgchen","2020-08-19T04:31:31.451Z","FALSE"
"12181","Srabutdotcom","2020-08-19T03:55:25.344Z","FALSE"
"12180","mootari","2020-08-18T22:30:05.541Z","FALSE"
"12179","mootari","2020-08-18T22:17:08.101Z","FALSE"
"12178","mootari","2020-08-18T21:57:47.677Z","FALSE"
"12177","mootari","2020-08-18T21:46:56.052Z","FALSE"
"12176","mootari","2020-08-18T21:11:35.840Z","FALSE"
"12175","mootari","2020-08-18T18:26:39.595Z","FALSE"
"12174","aaronkyle","2020-08-18T17:33:56.634Z","TRUE"
"12173","mashfedorova","2020-08-18T13:27:18.077Z","FALSE"
"12170","lomoramic","2020-08-18T01:51:22.062Z","FALSE"
"12168","aaronkyle","2020-08-18T00:59:35.999Z","FALSE"
"12167","aaronkyle","2020-08-18T00:55:36.131Z","FALSE"
"12166","mbostock","2020-08-18T00:23:58.890Z","FALSE"
"12165","mbostock","2020-08-18T00:22:41.347Z","FALSE"
"12163","aaronkyle","2020-08-18T00:11:42.136Z","FALSE"
"12162","lomoramic","2020-08-17T22:06:16.433Z","FALSE"
"12161","mbostock","2020-08-17T19:14:49.319Z","FALSE"
"12160","lomoramic","2020-08-17T18:13:34.616Z","FALSE"
"12159","mbostock","2020-08-17T17:09:11.424Z","FALSE"
"12158","lomoramic","2020-08-17T16:20:53.982Z","FALSE"
"12157","mbostock","2020-08-17T15:44:23.412Z","FALSE"
"12156","lomoramic","2020-08-17T15:07:09.312Z","FALSE"
"12155","lomoramic","2020-08-17T15:00:48.611Z","FALSE"
"12154","mbostock","2020-08-17T14:22:12.545Z","FALSE"
"12153","lomoramic","2020-08-17T08:54:24.747Z","FALSE"
"12150","aaronkyle","2020-08-16T17:45:46.474Z","FALSE"
"12149","bgchen","2020-08-16T17:43:38.035Z","TRUE"
"12148","aaronkyle","2020-08-16T17:15:29.863Z","FALSE"
"12144","mbostock","2020-08-15T21:13:38.461Z","FALSE"
"12143","Sumbody","2020-08-15T18:29:39.962Z","FALSE"
"12141","mcmcclur","2020-08-15T18:06:21.196Z","FALSE"
"12140","Sumbody","2020-08-15T17:51:30.402Z","FALSE"
"12139","john-guerra","2020-08-15T16:08:17.972Z","FALSE"
"12135","harris","2020-08-14T15:22:12.850Z","FALSE"
"12134","CodeMacabre","2020-08-14T15:10:35.010Z","FALSE"
"12133","Srabutdotcom","2020-08-14T09:20:26.607Z","FALSE"
